url,text,length
https://www.instagram.com/p/_F4GPtFOY8/,"SIXTEEN, HOMELESS AND PREGNANT",4
https://www.google.com/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2F8%2F89%2FHelping_the_homeless.jpg&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FHomelessness&docid=pSf-B9SFxwxJqM&tbnid=HfEAYO9bnfJuOM%3A&w=3285&h=2182&bih=805&biw=1436&ved=0ahUKEwiVl5fowKnOAhWEcRQKHW3-Ckc4rAIQMwg4KDYwNg&iact=mrc&uact=8,HOMELESS PLEASE HELP THANK YOU,5
https://www.google.com/imgres?imgurl=https%3A%2F%2Fsocialistworker.org%2Fsites%2Fdefault%2Ffiles%2Fimagecache%2F330%2Fimages%2F3313566370_26e702c601_b.sm_.jpg&imgrefurl=https%3A%2F%2Fsocialistworker.org%2F2016%2F02%2F09%2Fa-false-debate-on-homelessness&docid=R8sGEq13Z02K4M&tbnid=88U8NLe9xbS8-M%3A&w=330&h=220&bih=805&biw=1436&ved=0ahUKEwjzic6rwanOAhWEaxQKHVAhBO442AQQMwgZKBcwFw&iact=mrc&uact=8,HOMELESS PLEASE HELP THANK YOU VERY MUCH,7
https://www.google.com/imgres?imgurl=https%3A%2F%2Fscottystarnes.files.wordpress.com%2F2010%2F08%2Flike-obama.jpg&imgrefurl=https%3A%2F%2Fscottystarnes.wordpress.com%2F2010%2F08%2F31%2Fmore-bad-news-for-that-summer-of-recovery-homelessness-up-50-in-new-york-city%2F&docid=wsi0tc1I-BNCJM&tbnid=X2ewhdHdq_6UwM%3A&w=600&h=409&bih=805&biw=1436&ved=0ahUKEwisg9vVwKnOAhXHvhQKHSo6BP84yAEQMwgyKDAwMA&iact=mrc&uact=8,I'M LIKE OBAMA I WANT CHANGE,6
https://www.google.com/imgres?imgurl=https%3A%2F%2Fnonprofitquarterly.org%2Fwp-content%2Fblogs.dir%2F56%2Ffiles%2F2016%2F01%2FHomeless-sign.jpg&imgrefurl=https%3A%2F%2Fnonprofitquarterly.org%2F2016%2F01%2F04%2Fny-gov-orders-homeless-people-forcibly-removed-when-weather-turns-cold%2F&docid=p-8bmlLDEo79OM&tbnid=YQt11C-ohpO85M%3A&w=800&h=533&bih=805&biw=1436&ved=0ahUKEwj6v4eIwanOAhUEPxQKHaJUAjg4kAMQMwgrKCkwKQ&iact=mrc&uact=8,"HOMELESS. TRYING TO NOT LOSE HOPE. MISS MY FAMILY GETTING COLD. WET, HUNGRY. VERY LONELY WILL AND WANT TO WORK. PLEASE ANYTHING MAKES A DIFFERENCE  GOD BLESS TO ALL",29
https://www.google.com/imgres?imgurl=https%3A%2F%2Fnextgennewsla.files.wordpress.com%2F2013%2F07%2Fhomeless-man-with-dog.jpg&imgrefurl=https%3A%2F%2Fnextgennewsla.wordpress.com%2F2013%2F07%2F25%2Fthe-never-ending-story%2F&docid=_egOoGribhj2sM&tbnid=ITCqr0yURo2AhM%3A&w=400&h=320&bih=805&biw=1436&ved=0ahUKEwijloSxwKnOAhXHNxQKHYosDB84ZBAzCCsoKTAp&iact=mrc&uact=8,HUNGRY BROKE AND TRAVELING,4
https://www.google.com/imgres?imgurl=https%3A%2F%2Fi.ytimg.com%2Fvi%2FGicm5yHp68A%2Fhqdefault.jpg&imgrefurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DGicm5yHp68A&docid=CGtsiYprlIR7DM&tbnid=wK-41V5d7pbJsM%3A&w=480&h=360&bih=805&biw=1436&ved=0ahUKEwillvKVwanOAhXKbhQKHSrQD_w49AMQMwgOKAwwDA&iact=mrc&uact=8,WHY LIE? I NEED A BEER!,6
https://www.google.com/imgres?imgurl=https%3A%2F%2Fearthdesk.blogs.pace.edu%2Ffiles%2F2015%2F10%2FHomeless-dog2_700.jpeg&imgrefurl=https%3A%2F%2Fearthdesk.blogs.pace.edu%2F2015%2F10%2F28%2Fthe-homeless-and-their-pets-mutual-dependence-for-survival%2F&docid=eV-3UH6FFBqlkM&tbnid=L17Ydjv3894-AM%3A&w=700&h=632&bih=805&biw=1436&ved=0ahUKEwj6v4eIwanOAhUEPxQKHaJUAjg4kAMQMwhhKF8wXw&iact=mrc&uact=8,I WOULD RATHER BE HOMELESS AND BEG FOR CHANGE THEN BE A COP. MY DOG COMES FIRST! ANYTHING HELPS!,19
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww3.pictures.zimbio.com%2Fgi%2FNew%2BYork%2BCity%2BHomeless%2BPopulation%2BShows%2BSharp%2BTXys_dHglF1l.jpg&imgrefurl=http%3A%2F%2Fwww.zimbio.com%2Fpictures%2FTq1eviZ64Na%2FNYC%2BHomeless%2BPopulation%2BIncreasing%2FTXys_dHglF1&docid=PrbrbSaUWteomM&tbnid=T4isvh0b4cUe6M%3A&w=594&h=396&bih=805&biw=1436&ved=0ahUKEwj3saW4wanOAhXHUBQKHeFABts4vAUQMwgIKAYwBg&iact=mrc&uact=8,HOMELESS PLEASE CAN YOU HELP! I HAVE: NO MONEY NO PLACE TO SLEEP NO CLOTHES ANYTHING WILL HELP,18
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww2.pictures.zimbio.com%2Fgi%2FNew%2BYork%2BCity%2BHomelessness%2BRate%2BTime%2BHigh%2Bm5k2Rp30Ju9l.jpg&imgrefurl=http%3A%2F%2Fwww.zimbio.com%2Fpictures%2FF29afWm6d6-%2FNew%2BYork%2BCity%2BHomelessness%2BRate%2BTime%2BHigh%2Fm5k2Rp30Ju9&docid=QG00Y1_wM5YZaM&tbnid=AbLYNVKwOfCzxM%3A&w=594&h=396&bih=805&biw=1436&ved=0ahUKEwiVl5fowKnOAhWEcRQKHW3-Ckc4rAIQMwgDKAEwAQ&iact=mrc&uact=8,"HELP HOMELESS NO FOOD FOR 3 DAY, 8 WEEK PREG STRANDED ANY $ OR CENTS WILL HELP GOD BLESS AND SHALOM",21
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.womenofgrace.com%2Fblog%2Fwp-content%2Fuploads%2F2012%2F09%2Fhomeless-child.jpg&imgrefurl=http%3A%2F%2Fwww.womenofgrace.com%2Fblog%2F%3Fp%3D16318&docid=La4dMPheZ7OucM&tbnid=Jj_U1nbmi_gO9M%3A&w=415&h=412&bih=805&biw=1436&ved=0ahUKEwillvKVwanOAhXKbhQKHSrQD_w49AMQMwg2KDQwNA&iact=mrc&uact=8,HOMELESS AND HUNGRY PLEASE HELP,5
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.wfuv.org%2Fsites%2Fdefault%2Ffiles%2F5061903009_3818860161_o%2520(1).jpg&imgrefurl=http%3A%2F%2Fwww.wfuv.org%2Fcontent%2Fcityscape-homelessness-nyc&docid=DPOVKLL5vP6W3M&tbnid=70ppFyZUI9WC3M%3A&w=1800&h=1218&bih=805&biw=1436&ved=0ahUKEwiflZLZwanOAhUERhQKHTnrAU84ZBAzCDIoMDAw&iact=mrc&uact=8,HOMELESS BROKE AND HUNGRY,4
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.usedyorkcity.com%2Fwp-content%2Fuploads%2F2016%2F01%2Fimg_2393.jpg&imgrefurl=http%3A%2F%2Fwww.usedyorkcity.com%2F2016%2F01%2F22%2Ffree-one-way-plane-tickets-for-nycs-homeless-blessing-or-curse%2F&docid=Q0kP7-9Dg5ghfM&tbnid=d65bYGDJqA_lCM%3A&w=4752&h=3168&bih=805&biw=1436&ved=0ahUKEwjD67DHwanOAhXFchQKHadCDSsQMwgoKAwwDA&iact=mrc&uact=8,"STRANDED FROM WISCONSIN HUNGRY, BROKE, COLD ANY HELP IS APPRECIATED! GOD BLESS",12
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.sdcitytimes.com%2Fwp-content%2Fuploads%2F2014%2F05%2FHomeless007-900x707.jpg&imgrefurl=http%3A%2F%2Fwww.sdcitytimes.com%2Flegend%2F2014%2F05%2F14%2Fswept-under-the-rug-solving-san-diegos-homeless-issue-isnt-as-easy-as-it-seems%2F&docid=hzsLi61xCwQrxM&tbnid=K9ePeTgrpFk53M%3A&w=900&h=707&bih=805&biw=1436&ved=0ahUKEwiVl5fowKnOAhWEcRQKHW3-Ckc4rAIQMwgtKCswKw&iact=mrc&uact=8,HOMELESS ANYTHING HELPS GOD BLESS US ALL,7
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.rawstory.com%2Fwp-content%2Fuploads%2F2016%2F01%2F2016-01-04T004200Z_1_LYNXMPEC0300J_RTROPTP_3_USA-ODDLY-800x430.jpg&imgrefurl=http%3A%2F%2Fwww.rawstory.com%2F2016%2F01%2Fnew-york-governor-orders-homeless-off-streets-in-freezing-weather%2F&docid=HpZ1TEmz3378FM&tbnid=HzXzmfTuh4ueyM%3A&w=800&h=430&bih=805&biw=1436&ved=0ahUKEwisg9vVwKnOAhXHvhQKHSo6BP84yAEQMwgWKBQwFA&iact=mrc&uact=8,HOMELESS HUNGRY PLEASE HELP,4
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.no2homeless.com%2Fwp-content%2Fuploads%2F2016%2F01%2Fwinter_homeless_blizzard.jpg&imgrefurl=http%3A%2F%2Fwww.no2homeless.com%2F5-ways-to-help-homeless-after-new-york-blizzard%2F&docid=65OKjQkusIHZsM&tbnid=po8MEUyBUq-1sM%3A&w=955&h=500&bih=805&biw=1436&ved=0ahUKEwiVl5fowKnOAhWEcRQKHW3-Ckc4rAIQMwg6KDgwOA&iact=mrc&uact=8,I AM A MEAT POPSICLE! JUST TRYING RAISE A FEW DOLLARS ANYTHING HELPS AND APPRECIATED,15
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.newyorksocialdiary.com%2Fi%2Fpartypictures%2F09_16_11%2FIMG_5255.jpg&imgrefurl=http%3A%2F%2Fwww.newyorksocialdiary.com%2Fsocial-diary%2F2011%2Fthe-sun-sets-after-an-active-new-york-week&docid=MW1Z52XZalJmAM&tbnid=rlgGPuYyN_x4qM%3A&w=555&h=416&bih=805&biw=1436&ved=0ahUKEwjH98WlwqnOAhVBvBQKHQZAAX442AQQMwgOKAswCw&iact=mrc&uact=8#h=416&w=555,BROKEN HOMELESS AND IN NEED! PLEASE? TRAVELING WEST!,8
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.neontommy.com%2Fsites%2Fdefault%2Ffiles%2Fusers%2Fuser1031%2FDSC_0021.JPG&imgrefurl=http%3A%2F%2Fwww.neontommy.com%2Fnews%2F2013%2F12%2Fholiday-season-hits-new-york-homeless-population-hard&docid=-UAmoTiHj8JppM&tbnid=k1njqOQ7oTM0-M%3A&w=350&h=232&bih=805&biw=1436&ved=0ahUKEwijloSxwKnOAhXHNxQKHYosDB84ZBAzCDYoNDA0&iact=mrc&uact=8,HOMELESS PLEASE HELP HAPPY HOLIDAYS GOD BLESS,7
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.featureshoot.com%2Fwp-content%2Fuploads%2F2014%2F05%2FSleeze_1.jpg&imgrefurl=http%3A%2F%2Fwww.featureshoot.com%2F2014%2F05%2Fandres-serrano%2F&docid=90oRARGkw3c1mM&tbnid=5lNECmOeolRikM%3A&w=620&h=768&bih=805&biw=1436&ved=0ahUKEwillvKVwanOAhXKbhQKHSrQD_w49AMQMwgEKAIwAg&iact=mrc&uact=8,"HOMELESS COLD, BROKE AND MISERABLE ANYTHING HELPS GOD BLESS AND HAPPY NEW YEAR",13
https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.digitaljournal.com%2Fimg%2F8%2F7%2F3%2Fi%2F4%2F3%2F7%2Fo%2FHomeless-Hungry-NewYork.jpg&imgrefurl=http%3A%2F%2Fwww.digitaljournal.com%2Flife%2Fpersonal%2Bfinance%2Falmost-300-of-nyc-s-municipal-employees-are-homeless%2Farticle%2F444574&docid=YBTHPPdL_UusKM&tbnid=LvzLK7TcelwqVM%3A&w=700&h=404&bih=805&biw=1436&ved=0ahUKEwjD67DHwanOAhXFchQKHadCDSsQMwheKDowOg&iact=mrc&uact=8,HOMELESS AND HUNGRY PLEASE HELP GOD BLESS!,7
